port-name,country,vessel_type_main,Import_mean,weekly_mean_x,Import_max,utilization_import,correction,Import_corrected,Import_max_corrected,Export_mean,weekly_mean_y,Export_max,utilization_export,Export_corrected,Export_max_corrected,scaling_import,scaling_export,turn_around_time,count,count_max,utilization_vessel,GID_0
Abbot Point,Australia,Dry bulk,2991.2834916183087,2962.7950774124206,49279.361814063006,0.060700532261452236,1.0399910460525854,3110.908047487955,51250.09504181122,219092.1892995679,217005.59702052447,418224.05471088237,0.5238631944569185,227853.91513160866,434949.27214312425,17.133145415810958,1.985234040216796,25.793888888888887,6.913461538461538,13,0.5318047337278107,AUS
Abbot Point,Australia,General cargo,4.9404938660115505,4.893441543478107,513.8113620652013,0.009615384615384616,1.0948304689057964,5.409003215951636,562.5363344589703,4504.76370636061,4461.861194871461,48569.13863745815,0.0927495078713705,4931.9525609446,53174.972828798935,113.86236876620283,11.804164723161227,24.86861111111111,0.16346153846153846,2,0.08173076923076923,AUS
Albany,Australia,Dry bulk,1976.778238649878,1957.951779234165,27999.31544616452,0.07060094888572237,1.0416380305758501,2059.0873913924565,29165.151798814793,19540.68268359583,19354.580943752055,69005.65656020647,0.28317508531415625,20354.31822664838,71878.91619796696,14.75388145649273,3.6784240019571297,51.27291666666666,1.7307692307692308,5,0.34615384615384615,AUS
Albany,Australia,General cargo,602.0469135117171,596.313133383034,10901.317311115941,0.05522698737498606,1.0406121887068325,626.497356373621,11344.04366690804,4192.1099195220395,4152.185063145639,39822.3497517234,0.10527028027372033,4362.360678653453,41439.62253458987,18.842457975141272,9.885146937968312,68.04194444444445,0.5288461538461539,3,0.1762820512820513,AUS
Albany,Australia,Tanker,9.127749435330932,9.04081848832778,475.5592481232188,0.019193716600725014,1.1630133461482663,10.615694413587176,553.0817524515384,120.57994223549106,119.43156183324831,7992.057540081837,0.01508747173437597,140.23608209766311,9294.86958230006,60.593441611216406,77.084707539064,25.00722222222221,0.0673076923076923,1,0.0673076923076923,AUS
Botany Bay,Australia,Container,68730.87185371912,68076.29212177891,123079.59924765483,0.5584261914553538,1.0063971818815924,69170.55574184778,123866.96182995559,13333.93678612715,13206.946911973548,42000.6612534911,0.31746968709971995,13419.236404945661,42269.34712267683,1.8022026854771083,3.170057560693895,36.83861111111111,19.817307692307693,27,0.733974358974359,AUS
Botany Bay,Australia,Dry bulk,43.37899238620692,42.965859125385904,3477.863845435604,0.012472884021362164,1.0,43.37899238620692,3477.863845435604,106.29725174781728,105.28489696926664,2298.8889526063717,0.04623853258649248,106.29725174781728,2298.8889526063717,80.17391954317154,21.62698390415891,26.980555555555554,0.14423076923076922,1,0.14423076923076922,AUS
Botany Bay,Australia,General cargo,58.50320494131767,57.94603156092417,1616.0335885643606,0.03620172585230131,1.0,58.50320494131767,1616.0335885643606,66.40608533277444,65.77364642484326,4570.436912904765,0.014529482979028738,66.40608533277444,4570.436912904765,27.62299245289796,68.82557359015178,27.3275,0.07692307692307693,1,0.07692307692307693,AUS
Botany Bay,Australia,RoRo,85.33106675893644,84.51838993266085,5467.81544860189,0.015606061975035283,1.0,85.33106675893644,5467.81544860189,0.0,0.0,0.0,0.0,0.0,0.0,64.07766428197458,,24.557222222222222,0.019230769230769232,1,0.019230769230769232,AUS
Botany Bay,Australia,Tanker,54499.78832837793,53980.74272525052,142197.01364907483,0.383269570364374,1.0107913343524635,55087.91376636794,143731.5091672838,4403.647081895475,4361.7075858774215,33587.11341082631,0.13111121006534682,4451.168309926459,33949.56318157665,2.6372856404736362,7.709419612927664,38.06583333333333,6.8173076923076925,13,0.5244082840236687,AUS
